# Logger type: CL2000
# HW rev: 8.1x
# FW rev: 5.85
# Logger ID: id0001
# Session No.: 27
# Split No.: 1
# Time: 20230627T030351
# Value separator: ";"
# Time format: 4
# Time separator: ""
# Time separator ms: ""
# Date separator: ""
# Time and date separator: ""
# Bit-rate: 500000
# Silent mode: true
# Cyclic mode: false
Timestamp;Type;ID;Length;Data
27030356944;1;4200;8;0200000000000000
27030357194;1;4200;8;0200000000000000
27030357444;1;4200;8;0200000000000000
27030412944;0;101;8;e0fa9a6400000000
27030413194;0;191;8;0000010600090400
27030413444;0;151;8;0053554e47524f57
27030413694;0;151;8;0100000000000000
27030414344;0;250;8;0314003300530309
27030414592;0;290;8;0c66259a00000000
27030414844;0;2d0;8;0042594400000000
27030415092;0;3d0;8;0042617474657279
27030415096;0;3d0;8;012d426f78205072
27030415100;0;3d0;8;02656d69756d2048
27030415104;0;3d0;8;03564d0000000000
27030415344;0;110;8;0000000000000000
27030415592;0;150;8;266627100212021c
27030415844;0;190;8;000000150000000e
27030416092;0;1d0;8;0638000000aa0208
27030416344;0;210;8;00c800aa00000000
27030416445;0;91;8;0590000000e60100
27030416592;0;110;8;0000000000000000
27030418592;0;110;8;0000000000000000
27030420592;0;110;8;06d804b001900190
27030422592;0;110;8;06d804b001900190
27030424592;0;110;8;06d804b001900190
27030425344;0;210;8;00c800aa00000000
27030425844;0;1d0;8;0638000000aa0308
27030426344;0;150;8;266627100212021c
27030426394;0;91;8;0639000000e50100
27030426444;0;d1;8;03d5000000000200
27030426494;0;111;8;649a8a7d00000000
27030426592;0;110;8;06d804b001900190
27030428595;0;110;8;06d804b001900190
27030430595;0;110;8;06d804b001900190
27030432595;0;110;8;06d804b001900190
27030434595;0;110;8;06d804b001900190
27030435343;0;210;8;00c800aa00000000
27030435843;0;1d0;8;0638000000aa0308
27030436343;0;150;8;266627100212021c
27030436394;0;91;8;0638000000e50100
27030436444;0;d1;8;03d5000000000200
27030436494;0;111;8;649a8a8700000000
27030436595;0;110;8;06d804b001900190
27030438592;0;110;8;06d804b001900190
27030440593;0;110;8;06d804b001900190
27030442593;0;110;8;06d804b001900190
27030444593;0;110;8;06d804b001900190
27030445345;0;210;8;00c800aa00000000
27030445845;0;1d0;8;0638000000aa0308
27030446345;0;150;8;266627100212021c
27030446394;0;91;8;0638000000e50100
27030446444;0;d1;8;03d5000000000200
27030446494;0;111;8;649a8a9100000000
27030446593;0;110;8;06d804b001900190
27030448594;0;110;8;06d804b001900190
27030450594;0;110;8;06d804b001900190
27030452594;0;110;8;06d804b001900190
27030454594;0;110;8;06d804b001900190
27030455346;0;210;8;00c800aa00000000
27030455846;0;1d0;8;0638000000aa0308
27030456346;0;150;8;266627100212021c
27030456395;0;91;8;0637000000e50100
27030456445;0;d1;8;03d5000000000200
27030456495;0;111;8;649a8a9b00000000
27030456594;0;110;8;06d804b001900190
27030458594;0;110;8;06d804b001900190
27030500595;0;110;8;06d804b001900190
27030502595;0;110;8;06d804b001900190
27030504595;0;110;8;06d804b001900190
27030505343;0;210;8;00c800aa00000000
27030505843;0;1d0;8;0638000000aa0308
27030506343;0;150;8;266627100212021c
27030506395;0;91;8;0637000000e50100
27030506445;0;d1;8;03d5000000000200
27030506495;0;111;8;649a8aa500000000
27030506595;0;110;8;06d804b001900190
27030508595;0;110;8;06d804b001900190
27030510596;0;110;8;06d804b001900190
27030512596;0;110;8;06d804b001900190
27030514596;0;110;8;06d804b001900190
27030514844;0;190;8;000000150000000e
27030515345;0;210;8;00c800aa00000000
27030515845;0;1d0;8;0638000000aa0308
27030516345;0;150;8;266627100212021c
27030516395;0;91;8;0638000000e50100
27030516445;0;d1;8;03d5000000000200
27030516495;0;111;8;649a8aaf00000000
27030516597;0;110;8;06d804b001900190
27030518597;0;110;8;06d804b001900190
27030520596;0;110;8;06d804b001900190
27030522596;0;110;8;06d804b001900190
27030524596;0;110;8;06d804b001900190
27030525344;0;210;8;00c800aa00000000
27030525844;0;1d0;8;0638000000aa0308
27030526344;0;150;8;266627100212021c
27030526345;0;91;8;0637000000e60100
27030526395;0;d1;8;03d5000000000200
27030526445;0;111;8;649a8ab900000000
27030526596;0;110;8;06d804b001900190
27030528596;0;110;8;06d804b001900190
27030530597;0;110;8;06d804b001900190
27030532597;0;110;8;06d804b001900190
27030534597;0;110;8;06d804b001900190
27030535345;0;210;8;00c800aa00000000
27030535845;0;1d0;8;0638000000aa0308
27030536345;0;150;8;266627100212021c
27030536395;0;91;8;0636000000e60100
27030536445;0;d1;8;03d5000000000200
27030536495;0;111;8;649a8ac300000000
27030536597;0;110;8;06d804b001900190
27030538597;0;110;8;06d804b001900190
27030540594;0;110;8;06d804b001900190
27030542594;0;110;8;06d804b001900190
27030544594;0;110;8;06d804b001900190
27030545346;0;210;8;00c800aa00000000
27030545846;0;1d0;8;0638000000aa0308
27030546346;0;150;8;266627100212021c
27030546395;0;91;8;0637000000e60100
27030546445;0;d1;8;03d5000000000200
27030546495;0;111;8;649a8acd00000000
27030546594;0;110;8;06d804b001900190
27030548594;0;110;8;06d804b001900190
27030550597;0;110;8;06d804b001900190
27030552597;0;110;8;06d804b001900190
27030554598;0;110;8;06d804b001900190
27030555346;0;210;8;00c800aa00000000
27030555846;0;1d0;8;0638000000aa0308
27030556346;0;150;8;266627100212021c
27030556395;0;91;8;0634001300e60100
27030556445;0;d1;8;03d5000000000200
27030556495;0;111;8;649a8ad700000000
27030556598;0;110;8;06d804b001900190
27030558598;0;110;8;06d804b001900190
27030600595;0;110;8;06d804b001900190
27030602595;0;110;8;06d804b001900190
27030604595;0;110;8;06d804b001900190
27030605347;0;210;8;00c800aa00000000
27030605847;0;1d0;8;0628ff8b00aa0308
27030606347;0;150;8;266627100212021c
27030606395;0;91;8;0621007800e70100
27030606445;0;d1;8;03d5000000000200
27030606495;0;111;8;649a8ae100000000
27030606595;0;110;8;06d804b001900190
27030608595;0;110;8;06d804b001900190
27030610598;0;110;8;06d804b001900190
27030612598;0;110;8;06d804b001900190
27030614598;0;110;8;06d804b001900190
27030614846;0;190;8;000000150000000e
27030615346;0;210;8;00c800aa00000000
27030615846;0;1d0;8;0623ff8200aa0308
27030616346;0;150;8;265c27100212021c
27030616395;0;91;8;061c008000e70100
27030616445;0;d1;8;03d5000000000200
27030616495;0;111;8;649a8aeb00000000
27030616598;0;110;8;06d804b001900190
27030618598;0;110;8;06d804b001900190
27030620595;0;110;8;06d804b001900190
27030622595;0;110;8;06d804b001900190
27030624595;0;110;8;06d804b001900190
27030625347;0;210;8;00c800aa00000000
27030625847;0;1d0;8;0620ff7e00aa0308
27030626347;0;150;8;265c27100212021c
27030626395;0;91;8;061a008000e70100
27030626446;0;d1;8;03d4000000000200
27030626496;0;111;8;649a8af500000000
27030626595;0;110;8;06d804b001900190
27030628595;0;110;8;06d804b001900190
27030630597;0;110;8;06d804b001900190
27030632597;0;110;8;06d804b001900190
27030634597;0;110;8;06d804b001900190
27030635349;0;210;8;00c800aa00000000
27030635849;0;1d0;8;061fff8000aa0308
27030636349;0;150;8;265227100211021c
27030636396;0;91;8;0619008000e80100
27030636446;0;d1;8;03d4000000000200
27030636496;0;111;8;649a8aff00000000
27030636597;0;110;8;06d804b001900190
27030638597;0;110;8;06d804b001900190
27030640602;0;110;8;06d804b001900190
27030642602;0;110;8;06d804b001900190
27030644602;0;110;8;06d804b001900190
27030645354;0;210;8;00c800aa00000000
27030645854;0;1d0;8;061eff8000aa0308
27030646354;0;150;8;264827100211021c
27030646396;0;91;8;0618008000e80100
27030646446;0;d1;8;03d1000000000200
27030646496;0;111;8;649a8b0900000000
27030646602;0;110;8;06d804b001900190
27030648602;0;110;8;06d804b001900190
27030650603;0;110;8;06d804b001900190
27030652603;0;110;8;06d804b001900190
27030654603;0;110;8;06d804b001900190
27030655351;0;210;8;00c800aa00000000
27030655851;0;1d0;8;061dff7e00aa0308
27030656351;0;150;8;264827100211021c
27030656396;0;91;8;0617008000e90100
27030656446;0;d1;8;03d1000000000200
27030656496;0;111;8;649a8b1300000000
27030656603;0;110;8;06d804b001900190
27030658603;0;110;8;06d804b001900190
27030700603;0;110;8;06d804b001900190
27030702602;0;110;8;06d804b001900190
27030704602;0;110;8;06d804b001900190
27030705354;0;210;8;00c800aa00000000
27030705854;0;1d0;8;061dff8200aa0308
27030706354;0;150;8;263e27100210021c
27030706396;0;91;8;0617008000ea0100
27030706446;0;d1;8;03d0000000000200
27030706496;0;111;8;649a8b1d00000000
27030706602;0;110;8;06d804b001900190
27030708603;0;110;8;06d804b001900190
27030710603;0;110;8;06d804b001900190
27030712602;0;110;8;06d804b001900190
27030714602;0;110;8;06d804b001900190
27030714854;0;190;8;000000150000000e
27030715354;0;210;8;00c800aa00000000
27030715854;0;1d0;8;061dff7f00aa0308
27030716354;0;150;8;263427100210021c
27030716396;0;91;8;0616008000eb0100
27030716446;0;d1;8;03d0000000000200
27030716496;0;111;8;649a8b2700000000
27030716602;0;110;8;06d804b001900190
27030718602;0;110;8;06d804b001900190
27030720602;0;110;8;06d804b001900190
27030722605;0;110;8;06d804b001900190
27030724605;0;110;8;06d804b001900190
27030725353;0;210;8;00c800aa00000000
27030725853;0;1d0;8;061cff8100aa0308
27030726353;0;150;8;263427100210021c
27030726396;0;91;8;0617008000ec0100
27030726446;0;d1;8;03cf000000000200
27030726496;0;111;8;649a8b3100000000
27030726605;0;110;8;06d804b001900190
27030728605;0;110;8;06d804b001900190
27030730605;0;110;8;06d804b001900190
27030732604;0;110;8;06d804b001900190
27030734604;0;110;8;06d804b001900190
27030735352;0;210;8;00c800aa00000000
27030735852;0;1d0;8;061cff7e00aa0308
27030736352;0;150;8;262a2710020f021c
27030736396;0;91;8;0616008000ec0100
27030736446;0;d1;8;03cf000000000200
27030736496;0;111;8;649a8b3b00000000
27030736604;0;110;8;06d804b001900190
27030738604;0;110;8;06d804b001900190
27030740604;0;110;8;06d804b001900190
27030742605;0;110;8;06d804b001900190
27030744606;0;110;8;06d804b001900190
27030745354;0;210;8;00c800aa00000000
27030745854;0;1d0;8;061cff8100aa0308
27030746354;0;150;8;26202710020f021c
27030746397;0;91;8;0616008000ed0100
27030746447;0;d1;8;03ce000000000200
27030746497;0;111;8;649a8b4500000000
27030746606;0;110;8;06d804b001900190
27030748606;0;110;8;06d804b001900190
27030750606;0;110;8;06d804b001900190
27030752603;0;110;8;06d804b001900190
27030754603;0;110;8;06d804b001900190
27030755355;0;210;8;00c800aa00000000
27030755855;0;1d0;8;061cff7f00aa0308
27030756355;0;150;8;26202710020f021c
27030756397;0;91;8;0616008000ee0100
27030756447;0;d1;8;03cd000000000200
27030756497;0;111;8;649a8b4f00000000
27030756603;0;110;8;06d804b001900190
27030758603;0;110;8;06d804b001900190
27030800603;0;110;8;06d804b001900190
27030802604;0;110;8;06d804b001900190
